epoch,loss,reward 1,reward 2,total winrate,agent 1 winrate,agent 2 winrate
0,0,-100,-99.05,1.0,1.0,1.0
100,36.86242160201073,-100,-98.25,1.0,0.8712871287128713,0.5841584158415841
200,0.9087138772010803,-100,-98.25,1.0,0.7860696517412935,0.48258706467661694
300,7.811003029346466,-100,-98.25,1.0033333333333334,0.7566666666666667,0.47
400,7.134171783924103,-97.45,-98.25,1.0025,0.73,0.4625
500,1.7485511302947998,-97.45,-98.25,1.003992015968064,0.7285429141716567,0.46107784431137727
600,3.137998014688492,-97.45,-98.25,1.0033277870216306,0.7154742096505824,0.46422628951747086
700,1.6910271048545837,-97.45,-99.05,1.0028530670470757,0.7218259629101283,0.47075606276747506
800,3.3471603393554688,-97.45,-99.05,1.0024968789013733,0.7253433208489388,0.4781523096129838
900,8.088428258895874,-97.45,-99.05,1.002219755826859,0.7280799112097669,0.4872364039955605
1000,1.639747977256775,-97.45,-99.05,1.001998001998002,0.7392607392607392,0.4875124875124875
1100,7.099067538976669,-97.45,-99.05,1.0018165304268847,0.7447774750227066,0.4868301544050863
1200,0.7248431146144867,-97.6,-99.05,1.0016652789342215,0.7552039966694422,0.47710241465445463
1300,2.265478730201721,-100,-99.05,1.0015372790161414,0.7632590315142198,0.47501921598770175
1400,2.6880973875522614,-97.45,-99.05,1.001427551748751,0.7658815132048536,0.4725196288365453
1500,26.99811254441738,-100,-99.05,1.0013324450366423,0.7694870086608927,0.4703530979347102
1600,1.4839953780174255,-100,-99.05,1.0012492192379763,0.7695190505933791,0.47095565271705186
1700,3.2041675448417664,-100,-99.05,1.0011757789535567,0.7677836566725456,0.4708994708994709
1800,11.631712079048157,-100,-99.05,1.0011104941699056,0.7645752359800111,0.46751804553026094
1900,1.6021956503391266,-100,-99.05,1.0010520778537613,0.7617043661230931,0.4618621778011573
