epoch,loss,reward 1,reward 2,total winrate,agent 1 winrate,agent 2 winrate
0,0,-100,-100,1.0,0.0,1.0
100,0,-100,-100,0.9801980198019802,0.7227722772277227,0.43564356435643564
200,1.0242738723754883,-100,-100,0.9850746268656716,0.7064676616915423,0.48756218905472637
300,0.9140167832374573,-97.45,-98.25,0.9767441860465116,0.6976744186046512,0.4950166112956811
400,1.9568083882331848,-97.45,-98.25,0.9775561097256857,0.7007481296758105,0.4763092269326683
500,1.8315666615962982,-100,-98.25,0.9760479041916168,0.7045908183632734,0.469061876247505
600,2.649499773979187,-100,-98.25,0.9800332778702163,0.7171381031613977,0.47420965058236275
700,3.5588530898094177,-100,-98.25,0.9828815977175464,0.717546362339515,0.47503566333808844
800,2.166875660419464,-100,-98.25,0.9837702871410736,0.7278401997503121,0.4756554307116105
900,1.032307654619217,-100,-98.25,0.9855715871254163,0.7269700332963374,0.4938956714761376
1000,0.9832772612571716,-97.45,-98.25,0.987012987012987,0.7252747252747253,0.5004995004995005
1100,5.28079217672348,-97.45,-98.25,0.9881925522252498,0.7320617620345141,0.5040871934604905
1200,0.7868006527423859,-97.45,-98.25,0.9891756869275604,0.7327227310574521,0.5137385512073273
1300,0.8398852050304413,-98.25,-98.25,0.9900076863950807,0.7371252882398155,0.5073020753266718
1400,0.7432572841644287,-97.45,-95.85,0.9900071377587437,0.7351891506067095,0.5060670949321913
1500,0.8327919542789459,-98.25,-95.05,0.9900066622251832,0.7328447701532311,0.5056628914057295
1600,1.221879482269287,-100,-95.05,0.9900062460961899,0.7289194253591506,0.5059337913803873
1700,1.5182361900806427,-97.45,-95.85,0.9888300999412111,0.721928277483833,0.5085243974132863
1800,1.7567709386348724,-97.45,-95.05,0.9683333333333334,0.7038888888888889,0.49722222222222223
1900,0.7267793416976929,-97.45,-95.85,0.9678947368421053,0.6989473684210527,0.4968421052631579
2000,1.0384199917316437,-97.45,-95.05,0.9655,0.687,0.498
2100,0.8501378297805786,-97.45,-95.05,0.9633507853403142,0.6815801999048072,0.4964302712993812
2200,1.0675991475582123,-97.45,-99.05,0.9613811903680145,0.676056338028169,0.49568378009995456
2300,14.44088527560234,-97.45,-99.05,0.9595827900912647,0.6688396349413298,0.49500217296827465
2400,2.129830539226532,-97.45,-99.05,0.9600166597251145,0.6647230320699709,0.49354435651811746
2500,4.025658220052719,-19.849999999999962,-99.05,0.9592163134746101,0.6633346661335466,0.48980407836865253
2600,17.194230318069458,-19.99999999999996,-99.2,0.9573241061130334,0.6628219915417147,0.48250672818146867
2700,1.0104336440563202,-100,-99.05,0.9566827101073676,0.6634579785264717,0.4772306553128471
2800,22.386274963617325,-100,-99.05,0.9564441270974652,0.6597643698679043,0.4759014637629418
2900,3.6075397580862045,-100,-99.05,0.9569114098586694,0.6580489486384006,0.47500861771802827
3000,3.583491951227188,-100,-99.05,0.9580139953348884,0.6574475174941686,0.47350883038987
3100,16.42896170914173,-100,-99.05,0.9587229925830377,0.6565623992260561,0.4708158658497259
3200,1.3682111501693726,-100,-100,0.9600124960949703,0.6551077788191191,0.4704779756326148
3300,4.032344102859497,-100,-100,0.9609209330505907,0.6540442290215086,0.4701605574068464
3400,2.1727983951568604,-100,-100,0.9620699794178182,0.6530432225815936,0.470155836518671
3500,1.3775278627872467,-100,-100,0.9628677520708369,0.6529562982005142,0.46786632390745503
3600,4.818980380892754,-3.0000000000000004,-1.8499999999999999,0.9636212163287976,0.6492640933074146,0.47042488197722854
