epoch,loss,reward 1,reward 2,total winrate,agent 1 winrate,agent 2 winrate
0,0,-100,-98.25,1.0,1.0,0.0
100,0,-100,-98.25,0.9405940594059405,0.7029702970297029,0.42574257425742573
200,0.8660648167133331,-100,-98.25,0.9601990049751243,0.7114427860696517,0.44776119402985076
300,0.6595450341701508,-100,-98.25,0.9700996677740864,0.6976744186046512,0.4684385382059801
400,3.50185227394104,-100,-98.25,0.9750623441396509,0.7082294264339152,0.4713216957605985
500,1.7414473593235016,-100,-98.25,0.9760479041916168,0.7085828343313373,0.46706586826347307
600,15.634976834058762,-100,-98.25,0.978369384359401,0.7138103161397671,0.47753743760399336
700,2.0367275178432465,-100,-98.25,0.9800285306704708,0.7189728958630528,0.47503566333808844
800,0.6505011916160583,-100,-98.25,0.982521847690387,0.7328339575530587,0.4769038701622971
900,0.6614519357681274,-97.45,-98.25,0.9844617092119867,0.7358490566037735,0.48057713651498335
1000,0.620308130979538,-97.45,-99.05,0.986013986013986,0.7432567432567433,0.47652347652347654
1100,0.6290912628173828,-100,-99.05,0.9872842870118075,0.7493188010899182,0.47411444141689374
1200,0.7574936747550964,-97.45,-99.05,0.9883430474604497,0.7626977518734388,0.47127393838467946
1300,0.47288158535957336,-100,-99.05,0.98923904688701,0.7678708685626441,0.46733282090699463
1400,12.156588196754456,-100,-99.05,0.9900071377587437,0.7701641684511064,0.4603854389721627
1500,1.03138867020607,-100,-99.05,0.9880079946702198,0.7714856762158561,0.4530313124583611
1600,1.5220903754234314,-100,-99.05,0.9862585883822611,0.7626483447845097,0.4540911930043723
1700,1.9495598375797272,-100,-99.05,0.9988095238095238,0.7619047619047619,0.4636904761904762
1800,0.5820774137973785,-100,-99.05,0.998314606741573,0.7589887640449439,0.4584269662921348
1900,0.7060577869415283,-97.45,-99.05,0.9968085106382979,0.7526595744680851,0.45797872340425533
1900,0.7577427178621292,-100,-99.05,1.0305102577590741,0.7738032614413467,0.4713308784850079
2000,1.3832283318042755,-97.45,-99.05,1.0274862568715641,0.767616191904048,0.4672663668165917
2100,2.3475250899791718,-100,-99.05,1.0218943360304618,0.7629700142789148,0.45930509281294624
2200,0.740882933139801,-100,-99.05,1.015901862789641,0.7537482962289869,0.45842798727850975
2300,0.7296904027462006,-1.8499999999999999,-99.05,1.0134724033029119,0.7492394611038679,0.45632333767926986
2400,2.3626969754695892,-100,-100,1.0079133694294045,0.7409412744689713,0.45314452311536857
2500,0.8888677358627319,-100,-100,1.005997600959616,0.7341063574570172,0.45421831267493
