epoch,loss,reward 1,reward 2,total winrate,agent 1 winrate,agent 2 winrate
0,0,-100,-100,1.0,1.0,1.0
100,0.9056227207183838,-96.65,-100,0.9702970297029703,0.6138613861386139,0.6039603960396039
200,0.5729844272136688,-96.65,-92.65,0.9701492537313433,0.5970149253731343,0.6268656716417911
300,0.49305300414562225,-96.65,-92.65,0.973421926910299,0.6212624584717608,0.6445182724252492
400,0.4845445901155472,-96.65,-92.65,0.9775561097256857,0.6209476309226932,0.628428927680798
500,1.6078414022922516,-96.65,-92.65,0.9820359281437125,0.6227544910179641,0.6287425149700598
600,0.5828528106212616,-96.65,-92.65,0.9850249584026622,0.6189683860232945,0.6439267886855241
700,1.2958243042230606,-96.65,-100,0.9871611982881597,0.6191155492154066,0.6633380884450785
800,0.5713265240192413,-96.65,-100,0.9887640449438202,0.6292134831460674,0.6591760299625468
900,1.1454967707395554,-96.65,-92.65,0.9900110987791343,0.6270810210876804,0.6692563817980022
1000,1.099333718419075,-96.65,-100,0.991008991008991,0.6363636363636364,0.6723276723276723
1100,1.6699787378311157,-96.65,-100,0.9918256130790191,0.6448683015440508,0.6730245231607629
1200,1.1224302351474762,-96.65,-100,0.9916736053288926,0.6561199000832639,0.6736053288925895
1300,0.4028220474720001,-96.65,-100,0.9915449654112222,0.6556495003843198,0.6717909300538047
1400,0.8387837111949921,-96.65,-100,0.9607423269093505,0.6331192005710207,0.648108493932905
1500,17.122491389513016,-96.65,-100,0.9626915389740173,0.6302465023317788,0.6475682878081279
1600,0.8535892963409424,-96.65,-100,0.9643972517176764,0.6271080574640849,0.6433479075577764
1600,1.5686115622520447,-96.65,-100,0.981261711430356,0.6358525921299188,0.655840099937539
1700,10.35889133810997,-96.65,-100,0.982363315696649,0.6296296296296297,0.6507936507936508
1800,0.9487896263599396,-96.65,-100,0.9827873403664631,0.6179900055524709,0.6513048306496391
1900,1.5004819929599762,-100,-100,0.9800105207785376,0.6054708048395582,0.6480799579168859
2000,1.756829023361206,-100,-100,0.9780109945027486,0.592703648175912,0.6471764117941029
2100,5.076925441622734,-100,-100,0.9719181342217992,0.5773441218467397,0.6454069490718706
2200,1.2198917269706726,-100,-100,0.9681962744207179,0.5651976374375284,0.64379827351204
